Time,Total Pss,Heap Size(J),Heap Alloc(J),Heap Free(J),Heap Size(N),Heap Alloc(N),Heap Free(N),FD,Views,ViewRootImpl,AppContexts,Activities,WebViews,Thread,HandlerThread,Bitmap,FBReader,InsertPageAdView,ExpressBaseAdView,OpenSSL Sockets,Parcel,Binder,Parcel count,Parcel memory,Local Binders,Proxy Binder,Death Recipients,VmPeak,VmSize,VmHWM,VmRSS,Threads
05-30 04:01:18,1080948,159217,134641,24576,657900,644613,13286,599,5177,3,18,6,0,347,82,558,1,5,11,22,42,224,374,144,168,76,6,37413224,37038292,1673736,1044652,375
05-30 04:06:19,1095590,154698,130122,24576,652208,627013,25194,678,4642,3,18,6,0,344,82,502,1,5,11,23,47,222,380,145,166,76,6,37413224,36982856,1673736,1057444,373
05-30 04:11:21,1168061,163770,139194,24576,754108,739823,14284,650,5019,3,18,6,0,346,83,541,1,5,11,26,43,230,374,144,174,76,6,37413224,37033788,1673736,1132752,375
05-30 04:16:23,1176613,163598,139022,24576,803460,786448,16953,637,5042,3,18,6,0,342,85,545,1,5,11,20,43,233,374,144,177,76,6,37413224,37067512,1673736,1176940,371
05-30 04:21:24,1125989,164946,140370,24576,694768,679814,14954,613,5271,3,18,6,0,345,82,570,1,5,11,24,43,230,376,144,174,76,6,37413224,37145968,1673736,1086416,376
05-30 04:26:26,1166129,161150,136574,24576,692436,676830,15605,690,4947,3,18,6,0,351,84,533,1,5,11,23,42,244,386,147,188,76,6,37413224,37254340,1673736,1072968,382
05-30 04:31:27,1137925,161273,136697,24576,717860,703396,14463,641,4997,3,18,6,0,345,83,543,1,5,11,19,45,247,381,146,191,76,6,37413224,37120264,1673736,1101508,374
05-30 04:36:29,1181289,164457,139881,24576,732984,720953,12030,632,5127,3,18,6,0,350,85,559,1,5,11,22,45,244,374,144,188,76,6,37474796,37206012,1673736,1127516,379
05-30 04:41:30,1159029,161978,137402,24576,728112,714253,13859,604,5039,3,18,6,0,347,83,562,1,5,11,20,42,220,380,145,164,76,6,37474796,37171392,1673736,1109832,377
05-30 04:46:32,1238334,168382,143806,24576,799624,783189,16434,688,5158,3,18,6,0,349,86,570,1,5,11,24,46,230,380,145,174,76,6,37474796,37169564,1673736,1198784,377
05-30 04:51:33,1242402,166481,141905,24576,874836,859701,15134,652,5109,3,18,6,0,347,87,587,1,5,11,22,87,242,384,146,186,76,6,37474796,37201944,1673736,1241272,379
05-30 04:56:35,1301114,174909,150333,24576,848564,832659,15904,689,5473,3,18,6,0,356,87,611,1,5,11,27,51,228,388,147,172,78,6,37474796,37183752,1673736,1207648,378
05-30 05:01:36,1223650,168092,143516,24576,774852,758115,16736,684,5095,3,18,6,0,354,87,568,1,5,11,31,88,218,386,147,162,76,6,37474796,37246148,1673736,1149236,381
05-30 05:06:38,1196894,166112,141536,24576,784500,770434,14066,616,5320,3,18,6,0,352,85,592,1,5,11,23,43,245,380,145,189,76,6,37474796,37212872,1673736,1145420,380
05-30 05:11:39,1220467,170127,145551,24576,790888,778201,12686,611,5431,3,18,6,0,354,86,603,1,5,11,27,43,240,386,147,184,76,6,37474796,37277096,1673736,1169628,383
05-30 05:16:41,1226085,167808,143232,24576,771072,756731,14340,689,5404,3,18,6,0,354,87,577,1,5,11,27,94,238,390,148,182,76,6,37500972,37258880,1673736,1190100,382
05-30 05:21:42,1218753,169992,145416,24576,763848,747767,16080,662,5287,3,18,6,0,348,86,551,1,5,11,28,43,237,386,147,181,78,6,37500972,37166544,1673736,1144924,377
05-30 05:26:44,1206375,166187,141611,24576,786640,767703,18936,613,5055,3,18,6,0,347,85,553,1,5,11,20,43,226,382,146,170,76,6,37529884,37186724,1673736,1147204,378
05-30 05:31:45,1235847,166484,141908,24576,808308,791283,17024,659,5196,3,18,6,0,345,87,557,1,5,11,21,44,228,382,146,172,76,6,37529884,37110548,1673736,1190984,374
05-30 05:36:47,1193027,167419,142859,24560,766356,749670,16685,600,5120,3,18,6,0,348,85,558,1,5,11,17,44,237,384,146,181,76,6,37529884,37165832,1673736,1135496,377
05-30 05:41:48,1234855,168044,143468,24576,758524,740382,18141,651,5477,3,18,6,0,351,87,551,1,5,11,24,51,226,390,148,170,76,6,37529884,37189612,1673736,1157116,378
05-30 05:46:50,1248807,175376,150800,24576,748776,721328,27447,691,5205,3,18,6,0,350,87,542,1,5,11,30,87,239,388,147,183,76,6,37529884,37202064,1673736,1134160,379
05-30 05:51:51,1218687,168745,144169,24576,790956,775140,15815,603,5188,3,18,6,0,352,85,568,1,5,11,18,44,237,382,146,181,76,6,37529884,37288492,1673736,1172096,384
05-30 05:57:00,1235078,171861,147285,24576,748800,728847,19952,651,5093,3,18,6,0,349,87,559,1,5,11,18,41,235,381,146,180,76,6,37529884,37191512,1673736,1032456,377
05-30 06:02:02,1208520,170386,145810,24576,794204,779348,14855,619,5219,3,18,6,0,343,85,575,1,5,11,32,44,245,372,143,189,76,6,37529884,37172000,1673736,1095380,375
05-30 06:07:03,1215826,171021,146445,24576,773720,755074,18645,640,5238,3,18,6,1,344,86,590,1,5,12,24,48,241,385,147,185,77,6,37543832,37135780,1673736,1052316,373
05-30 06:12:05,1194696,165222,140646,24576,760560,738366,22193,598,4848,3,18,6,0,342,85,537,1,5,11,14,42,239,382,146,183,76,6,37543832,37038068,1673736,1008644,370
05-30 06:17:06,1197676,164564,139988,24576,756632,735562,21069,651,4872,3,18,6,1,341,89,540,1,5,12,16,50,251,379,145,184,77,6,37543832,37000020,1673736,1043876,365
05-30 06:22:08,1225022,169533,144957,24576,714996,689961,25034,662,4918,3,18,6,0,352,86,553,1,5,11,26,83,228,378,145,172,76,6,37543832,37244420,1673736,989460,382
05-30 06:27:09,1226234,166544,141968,24576,794260,775323,18936,607,4976,3,18,6,0,341,87,564,1,5,11,17,45,251,378,145,195,76,6,37543832,37017324,1673736,967204,368
05-30 06:32:11,1273769,168102,143526,24576,802396,783302,19093,699,5075,3,18,6,0,361,87,572,1,5,11,34,92,262,388,147,207,76,6,37543832,37353956,1673736,997564,388
05-30 06:37:12,1200979,164168,139592,24576,779928,761665,18262,593,4903,3,18,6,0,339,86,557,1,5,11,14,47,256,378,145,200,76,6,37543832,37044708,1673736,917312,369
05-30 06:42:14,1190990,164558,139982,24576,727788,708225,19562,637,4873,3,18,6,1,348,87,559,1,5,12,17,48,272,375,144,215,77,6,37543832,37144576,1673736,885140,374
05-30 06:47:15,1228783,166878,142302,24576,734384,717302,17081,658,4981,3,18,6,0,337,86,559,1,5,11,23,43,262,380,145,206,76,6,37543832,36969900,1673736,899312,366
05-30 06:52:17,1234739,169355,144779,24576,765024,749663,15360,655,4982,3,18,6,0,352,86,560,1,5,11,28,45,287,384,146,231,76,6,37543832,37203136,1673736,915340,380
05-30 06:57:18,1184033,167348,142772,24576,745872,729854,16017,610,5166,3,18,6,0,351,87,549,1,5,11,19,45,257,381,146,201,76,6,37543832,37174316,1673736,878284,378
05-30 07:02:20,1184237,168179,143603,24576,731456,712682,29013,624,5020,3,18,6,0,343,85,580,1,5,11,21,43,235,374,144,179,76,6,37543832,37033652,1673736,862808,371
05-30 07:07:21,1201809,168074,143498,24576,779392,760904,18487,611,5033,3,18,6,0,350,87,568,1,5,11,18,45,249,382,146,193,76,6,37543832,37141184,1673736,918552,376
05-30 07:12:23,1185233,165693,141117,24576,753276,731920,21355,642,4942,3,18,6,1,346,89,563,1,5,12,19,46,290,375,144,231,77,6,37571532,37112760,1673736,894920,372
05-30 07:17:24,1222369,170520,145944,24576,772324,756554,15776,666,5444,3,18,6,0,344,86,574,1,5,11,24,45,294,380,145,238,76,6,37627172,37064080,1673736,940176,371
05-30 07:22:26,1231047,174846,150270,24576,769128,751364,17763,634,5493,3,18,6,1,348,91,577,1,5,12,13,49,266,375,144,205,77,6,37627172,37172948,1673736,906232,373
05-30 07:27:28,1203042,171794,147218,24576,755312,734665,20647,604,5388,3,18,6,0,335,86,571,1,5,11,13,43,231,377,145,176,76,6,37627172,36939196,1673736,872584,365
05-30 07:32:29,1212038,168475,143899,24576,752796,734894,17902,639,5144,3,18,6,1,346,88,558,1,5,12,16,49,259,385,147,202,77,6,37627172,37176704,1673736,881408,374
05-30 07:37:31,1236250,170509,145933,24576,790764,755179,35589,662,5177,3,18,6,0,350,86,561,1,5,11,19,42,242,388,147,186,76,6,37627172,37152160,1673736,921356,377
05-30 07:42:32,1231216,178078,153502,24576,790464,774178,16285,620,5374,3,18,6,0,358,87,562,1,5,11,22,44,252,389,148,197,76,6,37627172,37294724,1673736,921424,384
05-30 07:47:34,1199564,174600,150024,24576,741964,723792,18171,775,5100,3,18,6,1,346,88,546,1,5,12,20,62,252,395,165,197,77,8,37676964,37236480,1673736,870044,371
05-30 07:52:35,1229720,175457,150881,24576,813088,793908,19179,645,5173,3,18,6,0,348,88,550,1,5,11,24,93,260,382,146,205,76,6,37676964,37113420,1673736,910520,374
05-30 07:57:46,1199433,172280,147704,24576,736880,716151,20728,648,5010,3,18,6,1,337,88,540,1,5,12,14,63,298,379,145,239,77,6,37676964,36993560,1673736,864988,365
05-30 08:02:47,1192522,173336,148760,24576,729232,709570,19663,776,5043,3,18,6,1,339,87,544,1,5,12,27,89,296,379,145,241,77,8,37676964,37181912,1673736,878412,368
05-30 08:07:49,1191301,167889,143313,24576,709256,690297,18958,752,4892,3,18,6,1,341,86,544,1,5,12,8,41,241,389,148,186,77,8,37676964,37258496,1673736,818212,370
05-30 08:12:50,1199700,176566,152006,24560,766180,744734,21445,646,4893,3,18,6,1,353,89,551,1,5,12,15,88,277,424,209,218,77,6,37676964,37097080,1673736,879532,371
05-30 08:17:51,1184327,171612,147036,24576,702908,684017,18891,797,4897,3,18,6,1,340,88,545,1,5,12,19,57,278,381,146,222,78,8,37676964,37173080,1673736,823812,367
05-30 08:22:53,1233075,168005,143445,24560,747012,726430,20581,644,4877,3,18,6,1,343,86,545,1,5,12,15,45,254,383,146,197,77,6,37676964,37246664,1673736,893200,373
05-30 08:27:54,1176663,170369,145793,24576,712320,696568,15751,820,5099,3,18,6,1,349,90,561,1,5,12,16,44,262,385,147,206,79,8,37676964,37351284,1673736,847088,376
05-30 08:32:56,1229459,173874,149298,24576,772436,754875,17560,644,5479,3,18,6,1,356,90,590,1,5,12,15,49,281,389,148,221,77,6,37676964,37318928,1673736,892380,383
05-30 08:37:58,1215010,175126,150550,24576,780788,766199,14588,617,5600,3,18,6,0,345,86,605,1,6,12,22,43,273,389,148,218,76,6,37676964,37141324,1673736,885092,375
05-30 08:42:59,1197140,169285,144709,24576,737140,719064,18075,745,5363,3,18,6,1,337,87,588,1,5,12,11,44,319,381,146,264,77,8,37676964,37112256,1673736,861864,367
05-30 08:48:01,1216364,170960,146384,24576,769224,748243,20982,638,5343,3,18,6,1,335,86,589,1,5,12,17,45,292,381,146,231,77,6,37676964,37001184,1673736,871024,365
05-30 08:53:02,1214550,169478,144902,24576,811280,792425,18854,617,5153,3,18,6,0,343,85,587,1,5,11,32,84,244,384,146,189,76,6,37676964,37137796,1673736,913988,375
05-30 08:58:04,1187186,169220,144644,24576,702572,685765,16806,777,5167,3,18,6,1,349,88,587,1,5,12,16,41,286,385,147,231,77,8,37676964,37312036,1673736,811348,376
05-30 09:03:05,1253709,206326,181750,24576,730300,713482,16817,723,5206,3,18,6,1,352,87,602,1,5,12,30,43,251,397,150,195,79,8,37676964,37324252,1673736,867624,381
05-30 09:08:06,1095184,156944,132368,24576,647396,627734,19661,631,3571,1,16,4,0,326,86,478,1,0,3,22,42,230,377,138,183,73,6,37676964,36819928,1673736,766524,358
